"id","category","name","price","salePrice","sale","url"
"26","Consoles","GRA ELEKTRONICZNA, KONSOLA DLA DZIECI","69,00 zł","119,00 zł","-42%","https://allegro.pl/oferta/gra-elektroniczna-konsola-dla-dzieci-10007688510"
"27","Consoles","Ładowarka stacja dokująca PAD2xaku 1200Ah XBOX one","79,90 zł z kurierem","109,00 zł","-26%","https://allegro.pl/oferta/ladowarka-stacja-dokujaca-pad2xaku-1200ah-xbox-one-9920248509"
"28","Consoles","KONSOLA DO GIER X12 PLUS 7cal PRZENOŚNA + 16GB","279,90 zł z kurierem","319,90 zł","-12%","https://allegro.pl/oferta/konsola-do-gier-x12-plus-7cal-przenosna-16gb-10216282540"
"29","Consoles","KONSOLA DO GIER X12 PLUS 7cal PRZENOŚNA + 8000 GRY","269,90 zł z kurierem","319,90 zł","-15%","https://allegro.pl/oferta/konsola-do-gier-x12-plus-7cal-przenosna-8000-gry-9993480561"
"30","Consoles","500 GIER DLA 2 GRACZY MINI KONSOLA RETRO EKRAN 3.0","48,80 zł","99,00 zł","-50%","https://allegro.pl/oferta/500-gier-dla-2-graczy-mini-konsola-retro-ekran-3-0-9197796988"
"31","Consoles","KONSOLA PRZENOŚNA RX7 - 300 GIER PSP RETRO MP5","219,00 zł z kurierem","399,00 zł","-45%","https://allegro.pl/events/clicks?emission_unit_id=4f86da71-d51f-4b8d-9a0b-d8df3761a78e&emission_id=8e69a233-d29d-4702-8acd-9053d2a9c1e3&type=OFFER&ts=1616081353071&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkonsola-przenosna-rx7-300-gier-psp-retro-mp5-9433375609%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DM2VjNTg4ZTEtNDgwMS00MzQ5LThlZDktZWMwM2ZiZGNiMGJmAA%26bi_t%3Dape&placement=listing:desktop:category&sig=96275956dd4b953b48fa90b7095d0c65"
"32","Consoles","PEGASUS MINI KONSOLA PRZENOŚNA 400 GIER PEGAZUS","74,00 zł z kurierem","169,00 zł","-56%","https://allegro.pl/oferta/pegasus-mini-konsola-przenosna-400-gier-pegazus-8300719543"
"33","Consoles","KONSOLA przenośna RETRO ekran 4,3 8G 1000 GIER RX6","199,00 zł","299,00 zł","-33%","https://allegro.pl/oferta/konsola-przenosna-retro-ekran-4-3-8g-1000-gier-rx6-9458367033"
"34","Consoles","MINI KONSOLA PRZENOŚNA 400 GIER RETRO EKRAN 3.0''","74,00 zł z kurierem","169,00 zł","-56%","https://allegro.pl/oferta/mini-konsola-przenosna-400-gier-retro-ekran-3-0-8300697677"
"35","Consoles","Konsola do gier Mini SUP RETRO 3' ekran - 400 gier","40,00 zł z kurierem","99,00 zł","-59%","https://allegro.pl/oferta/konsola-do-gier-mini-sup-retro-3-ekran-400-gier-8869434386"
